team_ct_wins_round,map_id,elapsed_since_bombplant,bombplant_site,round_number,round_of_half,rounds_per_half,team_ct_player1_is_alive,team_ct_player1_equipped_weapon,team_ct_player1_has_helmet,team_ct_player1_has_kevlar,team_ct_player1_hp,team_ct_player1_equipment_value,team_ct_player1_has_defuse_kit,team_ct_player2_is_alive,team_ct_player2_equipped_weapon,team_ct_player2_has_helmet,team_ct_player2_has_kevlar,team_ct_player2_hp,team_ct_player2_equipment_value,team_ct_player2_has_defuse_kit,team_ct_player3_is_alive,team_ct_player3_equipped_weapon,team_ct_player3_has_helmet,team_ct_player3_has_kevlar,team_ct_player3_hp,team_ct_player3_equipment_value,team_ct_player3_has_defuse_kit,team_ct_player4_is_alive,team_ct_player4_equipped_weapon,team_ct_player4_has_helmet,team_ct_player4_has_kevlar,team_ct_player4_hp,team_ct_player4_equipment_value,team_ct_player4_has_defuse_kit,team_ct_player5_is_alive,team_ct_player5_equipped_weapon,team_ct_player5_has_helmet,team_ct_player5_has_kevlar,team_ct_player5_hp,team_ct_player5_equipment_value,team_ct_player5_has_defuse_kit,team_t_player1_is_alive,team_t_player1_equipped_weapon,team_t_player1_has_helmet,team_t_player1_has_kevlar,team_t_player1_hp,team_t_player1_equipment_value,team_t_player2_is_alive,team_t_player2_equipped_weapon,team_t_player2_has_helmet,team_t_player2_has_kevlar,team_t_player2_hp,team_t_player2_equipment_value,team_t_player3_is_alive,team_t_player3_equipped_weapon,team_t_player3_has_helmet,team_t_player3_has_kevlar,team_t_player3_hp,team_t_player3_equipment_value,team_t_player4_is_alive,team_t_player4_equipped_weapon,team_t_player4_has_helmet,team_t_player4_has_kevlar,team_t_player4_hp,team_t_player4_equipment_value,team_t_player5_is_alive,team_t_player5_equipped_weapon,team_t_player5_has_helmet,team_t_player5_has_kevlar,team_t_player5_hp,team_t_player5_equipment_value
False,de_mirage,1.001024,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,USP,False,True,100,850,True,Glock,False,True,100,900
False,de_mirage,2.002048,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Knife,False,True,100,850,True,USP,False,True,100,850,True,Glock,False,True,100,900
False,de_mirage,3.003072,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,USP,False,True,100,850,True,Glock,False,True,100,900
False,de_mirage,4.004096,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,USP,False,True,100,850,True,Glock,False,True,100,900
False,de_mirage,5.00512,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,USP,False,True,100,850,True,Glock,False,True,100,900
False,de_mirage,6.006144,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,USP,False,True,100,850,True,Knife,False,True,100,900
False,de_mirage,7.007168,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,Knife,False,True,100,850,True,Knife,False,True,100,900
False,de_mirage,8.008192,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,USP,False,True,100,850,True,Glock,False,True,100,900
False,de_mirage,9.009216,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,USP,False,True,100,850,True,Glock,False,True,100,900
False,de_mirage,10.01024,A,3,3,15,True,USP,False,True,100,850,False,True,USP,False,True,100,850,False,True,USP,False,False,100,900,True,True,USP,False,True,100,850,False,False,Unknown,False,False,0,850,False,True,Glock,False,False,100,900,True,Glock,False,True,86,850,True,Glock,False,True,100,850,True,USP,False,True,100,850,True,Glock,False,True,100,900
